                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.47863,                0.38448,                0.91832,                0.58001,                0.29685,                0.33809,                0.10813,                 2.4321,                 2.9678,                 2.5995,             0.00090785,             0.00090785,             0.00090785
                     49,                0.48422,                0.39228,                0.92743,                0.56408,                0.30756,                0.33143,                 0.1034,                 2.5187,                 2.8971,                 2.7328,             0.00089134,             0.00089134,             0.00089134
                     50,                0.47606,                0.38142,                0.91835,                0.52019,                0.29011,                0.29829,                0.09779,                 2.5185,                 3.2304,                 2.6924,             0.00087484,             0.00087484,             0.00087484
                     51,                0.46881,                0.38185,                0.91578,                0.58352,                0.33411,                0.35148,                0.11597,                  2.415,                 2.7715,                 2.6892,             0.00085834,             0.00085834,             0.00085834
                     52,                0.46293,                0.38147,                0.91634,                 0.5383,                 0.3154,                0.32913,                0.10416,                 2.4846,                 2.8334,                 2.6797,             0.00084184,             0.00084184,             0.00084184
                     53,                0.46579,                0.37413,                0.91729,                0.51982,                0.27462,                0.28488,                0.09758,                 2.4559,                 3.0115,                  2.644,             0.00082533,             0.00082533,             0.00082533
                     54,                0.46149,                0.37168,                0.91462,                0.52128,                0.31222,                0.34849,                0.12191,                 2.4226,                 2.8643,                 2.6007,             0.00080883,             0.00080883,             0.00080883
                     55,                0.45563,                0.36746,                0.91681,                0.53763,                0.30459,                0.30573,                0.09871,                 2.4519,                  2.994,                 2.6626,             0.00079233,             0.00079233,             0.00079233
                     56,                0.46343,                0.36668,                0.91256,                0.42982,                0.24772,                0.24421,                0.07995,                 2.4628,                 3.2379,                 2.6488,             0.00077582,             0.00077582,             0.00077582
                     57,                0.45983,                0.36341,                0.90959,                0.57335,                0.31869,                0.34462,                0.11601,                 2.3665,                 2.6255,                 2.5941,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.4554,                0.36064,                0.90769,                0.48691,                0.26348,                0.28577,                0.08956,                 2.5276,                 3.0332,                 2.6999,             0.00074282,             0.00074282,             0.00074282
                     59,                0.45271,                0.35568,                0.90751,                0.51618,                0.38937,                0.38784,                 0.1262,                 2.4817,                 2.3518,                 2.7827,             0.00072631,             0.00072631,             0.00072631
                     60,                0.44659,                0.35442,                0.90498,                0.58291,                0.31016,                0.37109,                0.12458,                 2.4417,                 2.7043,                 2.6556,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.4403,                0.34466,                0.90483,                0.54312,                0.32906,                0.36809,                0.12202,                 2.3815,                 2.6073,                 2.5941,             0.00069331,             0.00069331,             0.00069331
                     62,                0.44629,                0.35464,                0.91089,                0.51972,                0.29133,                0.33269,                 0.1164,                 2.4155,                 2.8517,                 2.6182,              0.0006768,              0.0006768,              0.0006768
                     63,                0.43855,                0.34343,                0.90112,                0.59358,                0.43321,                0.48155,                0.17124,                 2.3137,                 2.1629,                 2.6176,              0.0006603,              0.0006603,              0.0006603
                     64,                0.43231,                0.34286,                0.90015,                0.59457,                0.39227,                0.43913,                0.15635,                 2.3659,                 2.2708,                  2.627,              0.0006438,              0.0006438,              0.0006438
                     65,                0.43642,                0.34388,                0.90164,                0.58919,                0.35127,                 0.3803,                0.13355,                 2.4295,                 2.7103,                 2.6098,             0.00062729,             0.00062729,             0.00062729
                     66,                0.43466,                0.34071,                0.89963,                0.56225,                0.33612,                0.38497,                0.13756,                 2.3386,                  2.726,                 2.5888,             0.00061079,             0.00061079,             0.00061079
                     67,                0.43452,                 0.3339,                0.90082,                 0.6191,                0.35801,                0.41814,                0.14203,                 2.3936,                 2.6376,                  2.582,             0.00059429,             0.00059429,             0.00059429
                     68,                0.42725,                0.33096,                 0.8977,                0.62982,                0.38395,                0.46122,                0.15683,                 2.3451,                 2.4645,                 2.5977,             0.00057778,             0.00057778,             0.00057778
                     69,                0.43225,                0.33268,                0.89815,                0.57243,                0.36018,                0.41892,                 0.1492,                 2.3519,                 2.4968,                 2.5703,             0.00056128,             0.00056128,             0.00056128
                     70,                0.42757,                0.32685,                0.89436,                0.62091,                0.34384,                0.41707,                 0.1421,                 2.3317,                    2.7,                 2.5779,             0.00054478,             0.00054478,             0.00054478
                     71,                0.41911,                0.32645,                 0.8964,                0.52405,                 0.2792,                0.31329,                0.09772,                 2.4298,                 3.0573,                 2.6412,             0.00052827,             0.00052827,             0.00052827
                     72,                0.41648,                 0.3159,                0.89199,                0.57061,                0.32977,                0.36588,                0.11546,                  2.486,                 2.8573,                  2.715,             0.00051177,             0.00051177,             0.00051177
                     73,                0.41862,                0.32166,                0.89436,                0.64024,                0.41482,                0.46356,                0.15992,                 2.2966,                 2.4089,                 2.5967,             0.00049527,             0.00049527,             0.00049527
                     74,                0.42088,                0.32595,                  0.895,                0.62673,                0.38783,                 0.4555,                0.15642,                 2.2898,                 2.5716,                 2.5631,             0.00047876,             0.00047876,             0.00047876
                     75,                0.41729,                0.31543,                0.89058,                0.57707,                  0.399,                0.42636,                0.15168,                 2.2622,                 2.4723,                  2.543,             0.00046226,             0.00046226,             0.00046226
                     76,                0.41796,                0.31902,                0.89057,                0.52976,                0.34511,                0.36722,                0.12105,                 2.3645,                 2.7198,                 2.6088,             0.00044576,             0.00044576,             0.00044576
                     77,                0.40689,                0.30755,                0.88858,                0.61092,                0.33957,                0.38922,                0.13265,                  2.283,                 2.7605,                 2.5335,             0.00042925,             0.00042925,             0.00042925
                     78,                0.41247,                 0.3154,                0.89149,                0.60645,                0.33768,                0.40884,                0.14557,                 2.2809,                 2.6764,                 2.5321,             0.00041275,             0.00041275,             0.00041275
                     79,                0.40765,                0.31325,                0.88918,                0.54384,                0.32513,                 0.3725,                0.12744,                 2.3363,                 2.9253,                 2.6028,             0.00039625,             0.00039625,             0.00039625
                     80,                0.40596,                0.31106,                0.88655,                0.62056,                0.36843,                 0.4284,                0.15122,                 2.3329,                 2.6525,                    2.6,             0.00037974,             0.00037974,             0.00037974
                     81,                0.40901,                0.30888,                0.88697,                0.66511,                0.34314,                0.43057,                 0.1524,                 2.3208,                 2.6716,                 2.5602,             0.00036324,             0.00036324,             0.00036324
                     82,                0.40407,                0.30487,                0.88614,                0.62107,                 0.3158,                0.40787,                0.14065,                 2.3061,                  2.982,                 2.5443,             0.00034674,             0.00034674,             0.00034674
                     83,                0.39419,                0.30119,                0.88279,                0.59673,                0.32113,                0.39284,                0.13926,                 2.2992,                 2.9268,                 2.5376,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.4036,                0.30077,                0.88453,                0.63143,                0.33187,                0.39737,                0.14505,                 2.3051,                  2.865,                 2.5359,             0.00031373,             0.00031373,             0.00031373
                     85,                0.39747,                 0.3012,                0.88197,                0.63701,                0.33641,                0.42825,                0.15693,                 2.2711,                 2.8323,                 2.5675,             0.00029723,             0.00029723,             0.00029723
                     86,                0.38966,                0.29775,                0.88093,                 0.6081,                0.35628,                0.43125,                0.14997,                 2.2826,                 2.7389,                 2.5804,             0.00028072,             0.00028072,             0.00028072
                     87,                0.39531,                0.30053,                0.88201,                0.60098,                0.35862,                 0.4157,                0.15104,                 2.2709,                 2.7569,                 2.5369,             0.00026422,             0.00026422,             0.00026422
                     88,                0.39133,                0.28873,                0.87829,                0.60764,                0.35568,                0.42436,                0.15116,                 2.2937,                 2.7298,                 2.5652,             0.00024772,             0.00024772,             0.00024772
                     89,                0.39108,                0.29022,                0.87502,                0.59208,                0.34712,                0.40521,                0.14325,                 2.3129,                  2.853,                 2.5542,             0.00023121,             0.00023121,             0.00023121
                     90,                0.38687,                0.29308,                0.87928,                0.64101,                0.36408,                0.45006,                0.16026,                 2.2604,                 2.7171,                 2.5461,             0.00021471,             0.00021471,             0.00021471
                     91,                0.35919,                0.23071,                0.84096,                0.61083,                0.35823,                0.42123,                0.14986,                  2.303,                 2.7058,                 2.6044,             0.00019821,             0.00019821,             0.00019821
                     92,                0.35172,                0.22321,                0.84224,                0.64585,                0.35623,                0.43193,                 0.1483,                 2.2799,                 2.6893,                 2.5918,              0.0001817,              0.0001817,              0.0001817
