                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.54273,                0.45183,                0.91509,                0.54812,                0.34236,                0.36589,                0.12334,                 2.3702,                 2.3338,                 2.2511,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.5419,                0.44521,                0.91785,                0.49695,                0.34873,                 0.3758,                0.12959,                 2.3518,                 2.4947,                 2.2381,             0.00079233,             0.00079233,             0.00079233
                     56,                0.54027,                0.44002,                0.91053,                0.45668,                0.28493,                0.27525,                0.09126,                 2.4076,                 2.9164,                 2.2791,             0.00077582,             0.00077582,             0.00077582
                     57,                0.53891,                0.44042,                0.91123,                 0.5769,                0.35939,                0.37897,                0.12496,                 2.4286,                 2.4195,                 2.3144,             0.00075932,             0.00075932,             0.00075932
                     58,                0.53741,                0.43837,                0.91032,                0.49087,                0.33668,                0.34372,                 0.1158,                  2.397,                 2.6317,                 2.2757,             0.00074282,             0.00074282,             0.00074282
                     59,                0.53421,                 0.4368,                0.90975,                0.49103,                0.29081,                0.28556,                0.07996,                 2.5104,                 2.8588,                 2.4034,             0.00072631,             0.00072631,             0.00072631
                     60,                0.52545,                0.42543,                0.90677,                0.52517,                0.30544,                0.31973,                0.09943,                 2.4237,                 2.7628,                  2.277,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.5177,                0.41893,                0.90449,                0.55731,                0.32525,                0.34971,                0.10264,                 2.4565,                 2.6081,                 2.3385,             0.00069331,             0.00069331,             0.00069331
                     62,                0.52811,                0.43433,                0.90771,                0.56047,                0.32836,                0.38014,                0.13608,                  2.346,                 2.6953,                 2.2364,              0.0006768,              0.0006768,              0.0006768
                     63,                0.51828,                0.42468,                0.90378,                0.55925,                0.38927,                0.41311,                0.14014,                 2.4288,                  2.345,                 2.3069,              0.0006603,              0.0006603,              0.0006603
                     64,                0.51999,                0.42352,                0.90869,                0.58252,                0.32615,                0.37646,                 0.1296,                 2.3901,                 2.7377,                 2.2843,              0.0006438,              0.0006438,              0.0006438
                     65,                0.51485,                0.42143,                0.90333,                0.56668,                0.36617,                 0.3755,                0.12664,                 2.3453,                 2.5673,                 2.2061,             0.00062729,             0.00062729,             0.00062729
                     66,                0.51433,                 0.4157,                0.90356,                 0.5495,                  0.356,                0.37766,                0.12398,                 2.3673,                  2.341,                 2.2723,             0.00061079,             0.00061079,             0.00061079
                     67,                0.51272,                0.40856,                0.90311,                0.48517,                0.31896,                0.32295,                0.10332,                 2.4496,                 2.6681,                 2.3162,             0.00059429,             0.00059429,             0.00059429
                     68,                0.50303,                0.40355,                 0.9007,                0.51312,                0.32509,                0.35331,                0.10918,                 2.3803,                 2.7298,                 2.2175,             0.00057778,             0.00057778,             0.00057778
                     69,                0.50866,                0.40668,                0.90093,                0.53712,                0.36652,                0.37877,                0.13083,                 2.4222,                 2.3838,                 2.3065,             0.00056128,             0.00056128,             0.00056128
                     70,                0.50035,                0.40286,                0.89487,                0.59344,                0.31334,                 0.3668,                0.12244,                 2.4101,                 2.7418,                 2.2567,             0.00054478,             0.00054478,             0.00054478
                     71,                0.49541,                0.40357,                0.89614,                 0.5104,                0.35428,                0.37554,                0.12534,                 2.3641,                  2.459,                 2.2288,             0.00052827,             0.00052827,             0.00052827
                     72,                0.49522,                0.39328,                0.89325,                 0.5588,                0.35421,                 0.3916,                0.13595,                 2.4495,                 2.4486,                 2.3241,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.4916,                0.38977,                0.89557,                0.58881,                0.37223,                0.39344,                0.13164,                 2.3602,                 2.5066,                 2.2372,             0.00049527,             0.00049527,             0.00049527
                     74,                0.49873,                0.40214,                0.89927,                0.59741,                0.35461,                 0.4121,                0.14644,                 2.3296,                 2.5816,                 2.2407,             0.00047876,             0.00047876,             0.00047876
                     75,                0.49702,                0.38826,                0.89728,                0.59638,                0.33757,                0.37848,                0.12597,                 2.4325,                 2.6381,                 2.2886,             0.00046226,             0.00046226,             0.00046226
                     76,                 0.4925,                0.38489,                 0.8942,                0.53934,                0.34865,                0.36679,                0.12061,                 2.4522,                 2.4819,                 2.3474,             0.00044576,             0.00044576,             0.00044576
                     77,                0.48287,                 0.3799,                0.89073,                0.58723,                0.38797,                0.42874,                 0.1502,                 2.3321,                 2.3825,                 2.2447,             0.00042925,             0.00042925,             0.00042925
                     78,                0.49324,                0.38185,                0.89413,                0.55187,                0.37099,                 0.4154,                0.14819,                  2.325,                 2.5195,                 2.2042,             0.00041275,             0.00041275,             0.00041275
                     79,                0.48402,                0.38078,                0.89259,                0.55344,                0.31941,                0.34542,                0.11463,                 2.4071,                 2.8834,                 2.2672,             0.00039625,             0.00039625,             0.00039625
                     80,                0.48608,                0.38463,                 0.8913,                0.53298,                0.33653,                0.37349,                0.12169,                 2.4198,                 2.6055,                 2.2819,             0.00037974,             0.00037974,             0.00037974
                     81,                0.48385,                0.37697,                0.89158,                0.51642,                0.33791,                0.36216,                0.11976,                 2.3895,                 2.5898,                 2.2487,             0.00036324,             0.00036324,             0.00036324
                     82,                0.48269,                0.37635,                0.88849,                0.57468,                 0.3345,                0.38185,                 0.1271,                 2.3638,                 2.5541,                 2.2325,             0.00034674,             0.00034674,             0.00034674
                     83,                0.47208,                 0.3696,                0.88546,                0.51601,                0.33115,                0.36255,                0.12349,                 2.3412,                 2.6822,                  2.221,             0.00033023,             0.00033023,             0.00033023
                     84,                0.47595,                0.37108,                  0.886,                0.54693,                0.33417,                0.37261,                  0.126,                 2.3553,                 2.6366,                 2.2395,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.4755,                0.37384,                0.88638,                0.52824,                0.31361,                0.33956,                0.11297,                 2.3787,                 2.8593,                 2.2446,             0.00029723,             0.00029723,             0.00029723
                     86,                0.47212,                0.36939,                0.89001,                0.51661,                  0.352,                 0.3624,                0.12526,                 2.3667,                 2.5828,                 2.2642,             0.00028072,             0.00028072,             0.00028072
                     87,                0.47158,                0.36783,                0.88827,                0.49106,                 0.3345,                0.35694,                0.12263,                 2.3958,                 2.5868,                 2.2903,             0.00026422,             0.00026422,             0.00026422
                     88,                0.46638,                0.35913,                0.88463,                0.53933,                0.33974,                0.36079,                0.12292,                 2.4036,                 2.5939,                 2.3067,             0.00024772,             0.00024772,             0.00024772
